date,open,close,high,low,volume
2008-03-06,4310.35,4360.99,4427.5,4260.79,8493
2008-03-07,4315.81,4300.52,4341.29,4265.83,5674
2008-03-10,4265.61,4146.3,4265.61,4120.53,6568
2008-03-11,4121.65,4165.88,4165.92,4063.47,5133
2008-03-12,4254.67,4070.12,4272.98,4068.78,5722
2008-03-13,4033.32,3971.26,4055.45,3902.25,6365
2008-03-14,3956.75,3962.67,4000.78,3891.7,4140
2008-03-17,3941.26,3820.05,3941.26,3813.0,4910
2008-03-18,3789.56,3668.9,3862.77,3607.25,5786
2008-03-19,3746.05,3761.6,3813.89,3677.82,6158
2008-03-20,3721.5,3804.05,3857.62,3516.33,7326
2008-03-21,3790.11,3796.58,3838.06,3746.4,6509
2008-03-24,3830.35,3626.19,3840.48,3624.94,5895
2008-03-25,3559.94,3629.62,3659.21,3521.53,5276
2008-03-26,3644.13,3606.86,3698.32,3591.11,4625
2008-03-27,3541.28,3411.49,3541.28,3407.9,5506
2008-03-28,3378.63,3580.15,3590.75,3357.23,6329
2008-03-31,3465.91,3472.71,3555.82,3445.56,4711
2008-04-01,3461.08,3329.16,3493.13,3308.9,5483
2008-04-02,3370.6,3347.88,3464.53,3283.64,6548
2008-04-03,3323.43,3446.24,3456.95,3271.29,5088
2008-04-07,3418.52,3599.62,3613.48,3386.51,6099
2008-04-08,3604.26,3612.54,3656.96,3563.85,6548
2008-04-09,3585.85,3413.91,3606.89,3413.07,5985
2008-04-10,3378.14,3471.74,3474.31,3344.87,4545
2008-04-11,3498.55,3492.89,3517.82,3462.14,4328
2008-04-14,3419.05,3296.67,3427.88,3285.3,5031
2008-04-15,3282.57,3348.35,3349.76,3212.15,4466
2008-04-16,3349.93,3291.6,3363.22,3283.08,4009
2008-04-17,3286.41,3222.74,3352.95,3180.2,4584
2008-04-18,3200.57,3094.67,3203.71,3078.17,4366
2008-04-21,3305.15,3116.98,3305.17,3073.56,5995
2008-04-22,3076.72,3147.79,3148.73,2990.79,4878
2008-04-23,3116.41,3278.33,3296.72,3089.89,6623
2008-04-24,3539.87,3583.03,3593.2,3461.64,14206
2008-04-25,3572.55,3557.75,3658.55,3527.84,12962
2008-04-28,3497.38,3474.72,3530.91,3460.25,7574
2008-04-29,3457.35,3523.41,3544.23,3453.28,6717
2008-04-30,3545.57,3693.11,3705.09,3543.02,10761
2008-05-05,3739.8,3761.01,3768.22,3696.7,9969
2008-05-06,3735.85,3733.5,3786.02,3680.99,9893
2008-05-07,3716.45,3579.15,3774.07,3577.99,9049
2008-05-08,3538.92,3656.84,3658.05,3523.02,7517
2008-05-09,3682.96,3613.49,3693.16,3552.47,8789
2008-05-12,3548.61,3626.98,3668.86,3521.88,7989
2008-05-13,3515.71,3560.24,3615.06,3508.32,9074
2008-05-14,3549.67,3657.43,3661.97,3549.67,8859
2008-05-15,3676.84,3637.32,3706.72,3636.22,8395
2008-05-16,3637.64,3624.23,3661.07,3582.5,6481
2008-05-19,3615.59,3604.76,3624.84,3563.61,4845
2008-05-20,3601.55,3443.16,3632.01,3432.38,6637
2008-05-21,3414.34,3544.19,3560.53,3355.08,7364
2008-05-22,3493.07,3485.63,3558.02,3469.79,6850
2008-05-23,3473.8,3473.09,3521.39,3435.84,5995
2008-05-26,3442.29,3364.54,3443.99,3361.99,5277
2008-05-27,3355.11,3375.41,3383.68,3333.95,4249
2008-05-28,3382.77,3459.03,3486.33,3354.25,5247
2008-05-29,3447.77,3401.44,3481.73,3400.77,5143
2008-05-30,3414.25,3433.35,3450.49,3390.88,4849
2008-06-02,3426.2,3459.04,3483.61,3400.72,4918
2008-06-03,3456.58,3436.4,3469.06,3409.23,5664
2008-06-04,3424.04,3369.91,3428.47,3341.74,4803
2008-06-05,3355.93,3351.65,3376.34,3326.54,4183
2008-06-06,3362.0,3329.67,3371.28,3312.72,3476
2008-06-10,3202.11,3072.33,3215.5,3045.06,5090
2008-06-11,3042.16,3024.24,3064.2,2992.35,4693
2008-06-12,3011.56,2957.53,3031.06,2900.12,4953
2008-06-13,2960.91,2868.8,2976.45,2865.5,4106
2008-06-16,2876.29,2874.1,2917.81,2811.72,4038
2008-06-17,2873.13,2794.75,2893.47,2769.12,4329
2008-06-18,2772.37,2941.11,2945.42,2729.71,6634
2008-06-19,2921.72,2748.87,2921.72,2742.15,5679
2008-06-20,2811.08,2831.74,2917.32,2695.63,7415
2008-06-23,2780.15,2760.42,2813.14,2741.19,4067
2008-06-24,2747.32,2803.02,2817.17,2728.83,4838
2008-06-25,2794.04,2905.01,2910.48,2784.42,6481
2008-06-26,2904.09,2901.85,2931.31,2851.12,6551
2008-06-27,2809.31,2748.43,2822.26,2723.16,6052
2008-06-30,2724.4,2736.1,2766.8,2693.4,3851
2008-07-01,2743.16,2651.6,2753.33,2644.78,4068
2008-07-02,2656.04,2651.73,2700.9,2627.9,4018
2008-07-03,2610.81,2703.53,2746.37,2566.53,6814
2008-07-04,2691.21,2669.89,2713.48,2645.83,5729
2008-07-07,2673.55,2792.4,2801.53,2673.55,7740
2008-07-08,2805.61,2814.95,2843.6,2754.62,8020
2008-07-09,2838.86,2920.55,2920.55,2838.86,9702
2008-07-10,2879.62,2875.45,2952.04,2862.06,9090
2008-07-11,2863.81,2856.63,2888.29,2821.31,6482
2008-07-14,2837.5,2878.26,2895.3,2828.24,5446
2008-07-15,2886.11,2779.45,2896.33,2769.91,7091
2008-07-16,2753.9,2705.87,2765.15,2656.61,6004
2008-07-17,2747.95,2684.78,2773.28,2676.15,5084
2008-07-18,2711.74,2778.37,2785.53,2665.91,5787
2008-07-21,2759.88,2861.42,2865.06,2745.64,6648
2008-07-22,2852.44,2846.12,2868.62,2830.76,6151
2008-07-23,2870.93,2837.85,2887.58,2831.11,6149
2008-07-24,2861.81,2910.29,2912.7,2849.1,7250
2008-07-25,2875.77,2865.1,2888.58,2851.93,6253
2008-07-28,2883.76,2903.01,2924.45,2883.76,6231
2008-07-29,2868.01,2850.31,2868.01,2827.7,5863
2008-07-30,2884.59,2836.67,2894.37,2822.19,4894
2008-07-31,2844.65,2775.72,2848.0,2774.1,4453
2008-08-01,2751.02,2801.82,2830.76,2721.95,4921
2008-08-04,2782.99,2741.74,2793.26,2738.85,3717
2008-08-05,2751.2,2690.75,2762.26,2684.73,4237
2008-08-06,2711.6,2719.37,2743.11,2678.86,4060
2008-08-07,2717.5,2727.58,2742.71,2691.35,3949
2008-08-08,2724.43,2605.72,2725.93,2595.92,4850
2008-08-11,2595.9,2470.07,2601.5,2453.71,4716
2008-08-12,2445.22,2457.2,2484.75,2430.85,3663
2008-08-13,2440.52,2446.3,2458.77,2370.74,4100
2008-08-14,2432.2,2437.08,2454.25,2409.01,3130
2008-08-15,2434.41,2450.61,2476.86,2414.57,3129
2008-08-18,2451.78,2319.87,2455.5,2318.93,5365
2008-08-19,2297.25,2344.47,2355.93,2284.58,3859
2008-08-20,2332.48,2523.28,2523.47,2306.66,7373
2008-08-21,2484.49,2431.72,2518.44,2431.05,6133
2008-08-22,2414.46,2405.23,2426.71,2362.09,4628
2008-08-25,2408.09,2413.37,2443.99,2382.29,3375
2008-08-26,2384.95,2350.08,2403.02,2327.22,4097
2008-08-27,2343.88,2342.15,2385.99,2310.46,4095
2008-08-28,2341.96,2350.14,2374.25,2333.03,3475
2008-08-29,2361.05,2397.37,2420.85,2352.1,4640
2008-09-01,2380.47,2325.14,2380.47,2311.73,3626
2008-09-02,2312.1,2304.89,2329.01,2284.92,3419
2008-09-03,2301.94,2276.67,2321.53,2248.07,4225
2008-09-04,2270.52,2277.41,2295.35,2249.12,3416
2008-09-05,2224.53,2202.45,2238.32,2199.36,3860
2008-09-08,2210.34,2143.42,2220.55,2135.38,3766
2008-09-09,2152.28,2145.78,2161.35,2114.5,3072
2008-09-10,2131.8,2150.76,2185.69,2102.91,3901
2008-09-11,2143.4,2078.98,2148.12,2070.43,3644
2008-09-12,2077.55,2079.67,2104.63,2064.29,3031
2008-09-16,2049.81,1986.64,2049.81,1974.39,4622
2008-09-17,1971.94,1929.05,1999.95,1922.68,4585
2008-09-18,1876.12,1895.84,1942.85,1802.33,6633
2008-09-19,2067.64,2075.09,2075.09,2043.32,5843
2008-09-22,2241.72,2236.41,2269.73,2164.8,13993
2008-09-23,2209.12,2201.51,2253.4,2181.96,10016
2008-09-24,2133.1,2216.81,2218.29,2116.96,6454
2008-09-25,2214.58,2297.5,2333.28,2211.45,10123
2008-09-26,2304.12,2293.78,2310.45,2246.28,7825
2008-10-06,2267.39,2173.74,2267.39,2172.57,6093
2008-10-07,2101.09,2157.84,2183.0,2072.9,5690
2008-10-08,2095.91,2092.22,2127.08,2059.09,5075
2008-10-09,2125.57,2074.58,2130.87,2063.41,4507
2008-10-10,1995.96,2000.57,2027.83,1963.18,5407
2008-10-13,1978.56,2073.57,2074.47,1931.47,5663
2008-10-14,2139.06,2017.32,2146.73,2016.18,6804
2008-10-15,1995.89,1994.67,2013.49,1963.1,4081
2008-10-16,1916.13,1909.94,1943.32,1901.5,5067
2008-10-17,1921.84,1930.65,1941.3,1902.6,3864
2008-10-20,1924.18,1974.01,1979.84,1890.92,4456
2008-10-21,1978.67,1958.53,1996.66,1956.11,5409
2008-10-22,1932.68,1895.82,1950.79,1894.31,4831
2008-10-23,1851.26,1875.56,1879.85,1828.31,4783
2008-10-24,1875.63,1839.62,1888.1,1825.53,4624
2008-10-27,1809.22,1723.35,1809.22,1721.6,5053
2008-10-28,1671.4,1771.82,1786.44,1664.93,5984
2008-10-29,1786.2,1719.81,1795.09,1719.33,5218
2008-10-30,1732.77,1763.61,1788.2,1710.73,5356
2008-10-31,1754.21,1728.79,1765.68,1721.59,4021
2008-11-03,1713.76,1719.77,1750.32,1702.98,3585
2008-11-04,1707.93,1706.7,1717.1,1678.96,3925
2008-11-05,1716.22,1760.61,1788.26,1716.22,6031
2008-11-06,1720.42,1717.72,1728.22,1703.1,4568
2008-11-07,1686.52,1747.71,1762.23,1680.6,4680
2008-11-10,1782.31,1874.8,1876.16,1782.31,9127
2008-11-11,1872.07,1843.61,1887.8,1840.92,9087
2008-11-12,1820.44,1859.11,1863.9,1815.08,6587
2008-11-13,1837.27,1927.61,1942.9,1825.88,12106
2008-11-14,1943.96,1986.44,1987.26,1921.84,13044
2008-11-17,1981.26,2030.48,2031.1,1963.85,13684
2008-11-18,2020.99,1902.43,2050.88,1889.86,15669
2008-11-19,1889.35,2017.47,2023.91,1883.83,12881
2008-11-20,1977.21,1983.76,2030.87,1956.73,13084
2008-11-21,1932.6,1969.39,2013.18,1893.15,12712
2008-11-24,1961.21,1897.06,1974.47,1893.34,8451
2008-11-25,1925.25,1888.71,1939.37,1858.17,6954
2008-11-26,1890.33,1897.88,1914.71,1873.18,6514
2008-11-27,2012.69,1917.86,2022.48,1916.47,12233
2008-11-28,1901.68,1871.16,1915.27,1856.29,7772
2008-12-01,1865.74,1894.61,1895.76,1838.1,8189
2008-12-02,1856.97,1889.64,1907.78,1846.53,10428
2008-12-03,1903.43,1965.41,1965.83,1902.94,13491
2008-12-04,1992.72,2001.5,2055.21,1985.2,17595
2008-12-05,1984.26,2018.66,2019.75,1975.71,11849
2008-12-08,2049.16,2090.77,2091.28,2038.19,16497
2008-12-09,2100.77,2037.74,2100.81,2036.89,14533
2008-12-10,2025.03,2079.12,2079.55,2005.56,12825
2008-12-11,2072.58,2031.68,2087.2,2028.73,12169
2008-12-12,2014.58,1954.21,2023.18,1932.27,10814
2008-12-15,1977.03,1964.37,1989.3,1936.56,8153
2008-12-16,1948.86,1975.01,1976.72,1907.83,7832
2008-12-17,1983.84,1976.82,2003.38,1971.82,9724
2008-12-18,1978.97,2015.69,2016.57,1958.97,9216
2008-12-19,2006.21,2018.46,2038.66,1997.12,10218
2008-12-22,2016.45,1987.76,2016.45,1965.35,8682
2008-12-23,1990.05,1897.22,1990.05,1895.18,9898
2008-12-24,1873.58,1863.8,1887.31,1850.85,7449
2008-12-25,1865.72,1852.42,1877.77,1832.35,6456
2008-12-26,1852.91,1851.52,1866.63,1840.19,5325
2008-12-29,1846.3,1850.48,1856.33,1815.41,5502
2008-12-30,1851.91,1832.91,1862.94,1826.98,5646
2008-12-31,1834.95,1820.81,1844.37,1814.75,5039
2009-01-05,1849.02,1880.72,1880.72,1844.09,6713
2009-01-06,1878.83,1937.15,1938.69,1871.97,9906
2009-01-07,1938.97,1924.01,1948.23,1920.52,9236
2009-01-08,1890.24,1878.18,1894.17,1862.26,8037
2009-01-09,1875.16,1904.86,1909.35,1875.16,7122
2009-01-12,1897.7,1900.35,1924.44,1886.83,8364
2009-01-13,1880.87,1863.37,1888.31,1861.81,7383
2009-01-14,1862.31,1928.87,1929.28,1862.31,8791
2009-01-15,1912.77,1920.21,1937.73,1902.54,11598
2009-01-16,1928.92,1954.44,1984.73,1928.92,13297
2009-01-19,1971.0,1986.67,2018.51,1966.19,10940
2009-01-20,1981.15,1994.11,1994.81,1956.1,7456
2009-01-21,1965.94,1985.02,2007.91,1960.53,8728
2009-01-22,1996.09,2004.95,2009.85,1980.44,8828
2009-01-23,2001.17,1990.66,2008.79,1986.35,8596
2009-02-02,2008.13,2011.68,2012.74,1987.13,8476
2009-02-03,2011.77,2060.81,2060.93,2005.02,13440
2009-02-04,2068.09,2107.75,2108.26,2067.79,15178
2009-02-05,2106.83,2098.02,2149.48,2082.6,16535
2009-02-06,2102.08,2181.24,2185.09,2102.08,16086
2009-02-09,2211.32,2224.71,2238.89,2196.71,19231
2009-02-10,2218.49,2265.16,2266.4,2197.01,17258
2009-02-11,2230.49,2260.82,2305.71,2218.3,20932
2009-02-12,2265.79,2248.09,2274.2,2191.89,17397
2009-02-13,2249.19,2320.79,2323.12,2236.18,19971
2009-02-16,2338.76,2389.39,2389.88,2328.18,21142
2009-02-17,2387.35,2319.44,2402.81,2316.93,19811
2009-02-18,2271.26,2209.86,2295.74,2206.06,16246
2009-02-19,2224.49,2227.12,2247.62,2190.47,12984
2009-02-20,2234.36,2261.48,2262.33,2206.21,12893
2009-02-23,2249.29,2305.78,2313.59,2219.71,16028
2009-02-24,2273.75,2200.65,2295.59,2193.27,18385
2009-02-25,2222.51,2206.57,2234.02,2142.6,15237
2009-02-26,2201.67,2121.25,2237.55,2102.35,14863
2009-02-27,2100.06,2082.85,2123.24,2064.92,12290
2009-03-02,2066.23,2093.45,2102.11,2052.99,8746
2009-03-03,2047.21,2071.43,2088.63,2037.02,9778
2009-03-04,2076.62,2198.11,2201.73,2076.62,15481
2009-03-05,2220.15,2221.08,2241.76,2173.49,18244
2009-03-06,2180.79,2193.01,2221.04,2171.67,12386
2009-03-09,2205.75,2118.75,2232.67,2116.45,12430
2009-03-10,2097.14,2158.57,2159.27,2088.16,8394
2009-03-11,2199.98,2139.02,2203.53,2133.14,10372
2009-03-12,2127.73,2133.88,2136.79,2086.02,8721
2009-03-13,2148.42,2128.85,2166.02,2124.98,8350
2009-03-16,2122.41,2153.29,2158.9,2108.61,7338
2009-03-17,2156.77,2218.33,2225.19,2151.78,13080
2009-03-18,2227.98,2223.73,2255.01,2221.59,14699
2009-03-19,2227.34,2265.76,2268.14,2220.16,14582
2009-03-20,2272.44,2281.09,2294.12,2250.41,15052
2009-03-23,2286.25,2325.48,2329.18,2276.81,16006
2009-03-24,2359.68,2338.42,2369.45,2327.43,16272
2009-03-25,2333.16,2291.55,2355.69,2291.36,14484
2009-03-26,2296.05,2361.7,2362.05,2274.9,15855
