date,上证综指,创业板
2013-03-14,2270.28,842.04
2013-03-15,2278.4,853.91
2013-03-18,2240.02,852.12
2013-03-19,2257.43,842.68
2013-03-20,2317.37,866.27
2013-03-21,2324.24,882.73
2013-03-22,2328.28,882.0
2013-03-25,2326.72,881.76
2013-03-26,2297.67,876.36
2013-03-27,2301.26,882.75
2013-03-28,2236.3,867.51
2013-03-29,2236.62,866.46
2013-04-01,2234.4,877.0
2013-04-02,2227.74,845.16
2013-04-03,2225.29,835.14
2013-04-08,2211.59,853.48
2013-04-09,2225.77,861.99
2013-04-10,2226.13,850.53
2013-04-11,2219.55,847.78
2013-04-12,2206.78,846.61
2013-04-15,2181.94,836.34
2013-04-16,2194.85,846.05
2013-04-17,2193.8,867.51
2013-04-18,2197.6,873.48
2013-04-19,2244.64,892.21
2013-04-22,2242.17,916.02
2013-04-23,2184.54,893.79
2013-04-24,2218.32,923.41
2013-04-25,2199.31,903.63
2013-04-26,2177.91,889.38
2013-05-02,2174.12,913.65
2013-05-03,2205.5,939.21
2013-05-06,2231.17,958.02
2013-05-07,2235.57,957.44
2013-05-08,2246.3,980.08
2013-05-09,2232.97,992.16
2013-05-10,2246.83,988.3
2013-05-13,2241.92,995.11
2013-05-14,2217.01,976.33
2013-05-15,2224.8,1012.66
2013-05-16,2251.81,1009.53
2013-05-17,2282.87,1023.4
2013-05-20,2299.99,1051.65
2013-05-21,2305.11,1073.58
2013-05-22,2302.4,1039.81
2013-05-23,2275.67,1042.9
2013-05-24,2288.53,1073.78
2013-05-27,2293.08,1089.72
2013-05-28,2321.32,1059.0
2013-05-29,2324.02,1065.96
2013-05-30,2317.75,1073.87
2013-05-31,2300.59,1073.02
2013-06-03,2299.25,1052.14
2013-06-04,2272.42,1022.46
2013-06-05,2270.93,1032.76
2013-06-06,2242.11,1022.13
2013-06-07,2210.9,1030.14
2013-06-13,2148.35,1029.28
2013-06-14,2162.04,1068.15
2013-06-17,2156.22,1073.69
2013-06-18,2159.29,1072.93
2013-06-19,2143.45,1067.62
2013-06-20,2084.02,1029.53
2013-06-21,2073.09,1025.5
2013-06-24,1963.23,971.45
2013-06-25,1959.51,984.75
2013-06-26,1951.49,1038.98
2013-06-27,1950.01,1022.5
2013-06-28,1979.21,1011.66
2013-07-01,1995.24,1055.84
2013-07-02,2006.56,1083.25
2013-07-03,1994.27,1104.58
2013-07-04,2006.1,1087.9
2013-07-05,2007.2,1057.27
2013-07-08,1958.27,1030.6
2013-07-09,1965.45,1050.71
2013-07-10,2008.13,1068.86
2013-07-11,2072.99,1080.78
2013-07-12,2039.49,1096.3
2013-07-15,2059.39,1139.57
2013-07-16,2065.72,1143.19
2013-07-17,2044.92,1129.48
2013-07-18,2023.4,1127.97
2013-07-19,1992.65,1116.01
2013-07-22,2004.76,1153.77
2013-07-23,2043.88,1178.59
2013-07-24,2033.33,1203.31
2013-07-25,2021.17,1150.39
2013-07-26,2010.85,1158.35
2013-07-29,1976.31,1136.98
2013-07-30,1990.06,1124.1
2013-07-31,1993.8,1134.02
2013-08-01,2029.07,1190.11
2013-08-02,2029.42,1188.85
2013-08-05,2050.48,1202.83
2013-08-06,2060.5,1211.78
2013-08-07,2046.78,1175.7
2013-08-08,2044.9,1185.95
2013-08-09,2052.24,1172.52
2013-08-12,2101.28,1161.87
2013-08-13,2106.16,1172.33
2013-08-14,2100.14,1180.66
2013-08-15,2081.88,1167.09
2013-08-16,2068.45,1132.09
2013-08-19,2085.6,1171.4
2013-08-20,2072.59,1175.78
2013-08-21,2072.96,1181.34
2013-08-22,2067.12,1197.13
2013-08-23,2057.46,1219.82
2013-08-26,2096.47,1238.17
2013-08-27,2103.57,1250.75
2013-08-28,2101.3,1227.99
2013-08-29,2097.23,1226.3
2013-08-30,2098.38,1185.15
2013-09-02,2098.45,1210.19
2013-09-03,2123.11,1234.59
2013-09-04,2127.62,1236.35
2013-09-05,2122.43,1267.26
2013-09-06,2139.99,1282.75
2013-09-09,2212.52,1275.91
2013-09-10,2237.98,1263.59
2013-09-11,2241.27,1220.7
2013-09-12,2255.6,1220.63
2013-09-13,2236.22,1253.45
2013-09-16,2231.4,1278.8
2013-09-17,2185.56,1269.36
2013-09-18,2191.85,1289.64
2013-09-23,2221.04,1326.09
2013-09-24,2207.53,1328.4
2013-09-25,2198.51,1323.04
2013-09-26,2155.81,1306.34
2013-09-27,2160.03,1323.76
2013-09-30,2174.67,1367.91
2013-10-08,2198.2,1387.66
2013-10-09,2211.77,1415.83
2013-10-10,2190.93,1378.15
2013-10-11,2228.15,1379.9
2013-10-14,2237.77,1393.6
2013-10-15,2233.41,1389.75
2013-10-16,2193.07,1335.1
2013-10-17,2188.54,1322.99
2013-10-18,2193.78,1349.94
2013-10-21,2229.24,1400.97
2013-10-22,2210.65,1350.47
2013-10-23,2183.11,1311.23
2013-10-24,2164.32,1295.93
2013-10-25,2132.96,1269.17
2013-10-28,2133.87,1279.05
2013-10-29,2128.86,1261.68
2013-10-30,2160.46,1273.29
2013-10-31,2141.61,1235.56
2013-11-01,2149.56,1221.96
2013-11-04,2149.63,1222.46
2013-11-05,2157.24,1260.03
2013-11-06,2139.61,1241.79
2013-11-07,2129.4,1224.05
2013-11-08,2106.13,1211.11
2013-11-11,2109.47,1212.69
2013-11-12,2126.77,1228.35
2013-11-13,2087.94,1212.08
2013-11-14,2100.51,1249.67
2013-11-15,2135.83,1269.05
2013-11-18,2197.22,1291.15
2013-11-19,2193.12,1298.17
2013-11-20,2206.61,1299.26
2013-11-21,2205.77,1298.95
2013-11-22,2196.38,1295.07
2013-11-25,2186.11,1293.8
2013-11-26,2183.07,1291.85
2013-11-27,2201.07,1329.48
2013-11-28,2219.37,1336.66
2013-11-29,2220.5,1366.83
2013-12-02,2207.37,1253.93
2013-12-03,2222.67,1255.33
2013-12-04,2251.76,1240.29
2013-12-05,2247.06,1202.07
2013-12-06,2237.11,1206.78
2013-12-09,2238.2,1241.71
2013-12-10,2237.49,1231.92
