date,open,close,high,low,volume,ma5,ma20,macd,macdsignal,macdhist
2022-01-24,3508.24,3524.11,3531.61,3500.14,28026,3545.97,3580.08,-19.76,-13.25,-6.51
2022-01-25,3509.28,3433.06,3519.83,3433.06,32735,3518.6,3570.93,-28.16,-16.23,-11.93
2022-01-26,3442.69,3455.67,3462.12,3417.76,27512,3498.09,3562.21,-32.63,-19.51,-13.11
2022-01-27,3456.1,3394.25,3456.36,3392.02,28060,3465.93,3552.07,-40.65,-23.74,-16.91
2022-01-28,3407.59,3361.44,3417.05,3356.56,29085,3433.71,3539.19,-49.09,-28.81,-20.28
2022-02-07,3407.76,3429.58,3434.03,3407.76,32048,3414.8,3528.68,-49.7,-32.99,-16.72
2022-02-08,3428.54,3452.63,3453.19,3390.46,36609,3418.71,3519.69,-47.78,-35.95,-11.84
2022-02-09,3450.82,3479.95,3484.74,3444.08,35024,3423.57,3513.93,-43.55,-37.47,-6.08
2022-02-10,3481.91,3485.91,3488.86,3464.22,35566,3441.9,3508.92,-39.27,-37.83,-1.44
2022-02-11,3472.28,3462.95,3500.15,3459.33,36135,3462.2,3503.09,-37.29,-37.72,0.43
2022-02-14,3451.85,3428.88,3457.26,3415.45,31527,3462.06,3494.86,-38.04,-37.78,-0.26
2022-02-15,3428.04,3446.09,3447.49,3421.64,27555,3460.76,3488.79,-36.82,-37.59,0.77
2022-02-16,3457.07,3465.83,3475.06,3453.8,27499,3457.93,3482.21,-33.87,-36.85,2.98
2022-02-17,3464.21,3468.04,3480.97,3454.28,29726,3454.36,3477.85,-30.99,-35.68,4.68
2022-02-18,3451.63,3490.76,3490.76,3447.03,29514,3459.92,3476.33,-26.58,-33.86,7.28
2022-02-21,3488.41,3490.61,3492.2,3471.69,30154,3472.27,3473.77,-22.82,-31.65,8.83
2022-02-22,3473.29,3457.15,3473.39,3437.67,32627,3474.48,3468.14,-22.29,-29.78,7.49
2022-02-23,3458.51,3489.15,3490.76,3458.18,32560,3479.14,3464.68,-19.07,-27.64,8.57
2022-02-24,3474.37,3429.96,3486.98,3400.21,48835,3471.53,3458.43,-21.05,-26.32,5.27
2022-02-25,3445.34,3451.41,3480.18,3440.93,37754,3463.66,3454.87,-20.65,-25.19,4.54
2022-02-28,3450.32,3462.31,3462.31,3425.52,34583,3458.0,3451.78,-19.23,-23.99,4.76
2022-03-01,3471.36,3488.83,3491.13,3465.72,32600,3464.33,3454.57,-15.79,-22.35,6.57
2022-03-02,3478.29,3484.19,3486.62,3467.0,32936,3463.34,3456.0,-13.28,-20.54,7.26
2022-03-03,3495.93,3481.11,3500.29,3473.34,41259,3473.57,3460.34,-11.4,-18.71,7.31
2022-03-04,3459.98,3447.65,3474.88,3437.7,39352,3472.82,3464.65,-12.48,-17.46,4.99
2022-03-07,3438.56,3372.86,3438.56,3360.74,39358,3454.93,3461.81,-19.14,-17.8,-1.34
2022-03-08,3372.55,3293.53,3383.63,3287.34,41592,3415.87,3453.86,-30.47,-20.33,-10.14
2022-03-09,3303.71,3256.39,3321.48,3147.68,46628,3370.31,3442.68,-41.97,-24.66,-17.31
2022-03-10,3312.18,3296.09,3326.58,3291.24,37833,3333.3,3433.19,-47.33,-29.19,-18.13
2022-03-11,3259.32,3309.75,3315.66,3217.42,38406,3305.72,3425.53,-49.9,-33.33,-16.56
2022-03-14,3271.89,3223.53,3297.8,3223.53,33796,3275.86,3415.26,-58.22,-38.31,-19.91
2022-03-15,3192.36,3063.97,3196.92,3063.97,46503,3229.95,3396.16,-76.81,-46.01,-30.8
2022-03-16,3107.67,3170.71,3177.79,3023.3,44466,3212.81,3381.4,-81.98,-53.2,-28.77
2022-03-17,3215.01,3215.04,3260.17,3202.93,42081,3196.6,3368.75,-81.56,-58.87,-22.68
2022-03-18,3207.15,3251.07,3260.78,3197.36,37303,3184.86,3356.77,-77.43,-62.59,-14.84
2022-03-21,3255.62,3253.69,3267.5,3223.39,35422,3190.9,3344.92,-73.1,-64.69,-8.41
2022-03-22,3249.54,3259.86,3279.11,3239.53,36119,3230.07,3335.06,-68.38,-65.43,-2.95
2022-03-23,3264.79,3271.03,3279.89,3251.98,34987,3250.14,3324.15,-63.02,-64.94,1.93
2022-03-24,3256.06,3250.26,3266.89,3236.66,32900,3257.18,3315.16,-59.75,-63.91,4.15
2022-03-25,3247.16,3212.24,3257.11,3211.64,34002,3249.42,3303.21,-59.54,-63.03,3.49
2022-03-28,3185.17,3214.5,3230.22,3159.83,34499,3241.58,3290.82,-58.52,-62.13,3.61
2022-03-29,3216.01,3203.94,3229.18,3196.46,31627,3230.39,3276.57,-57.9,-61.29,3.38
2022-03-30,3217.59,3266.6,3266.6,3216.3,36675,3229.51,3265.69,-51.75,-59.38,7.63
2022-03-31,3256.14,3252.2,3272.04,3246.06,39843,3229.9,3254.25,-47.5,-57.0,9.51
2022-04-01,3234.67,3282.72,3287.23,3226.3,37821,3243.99,3246.0,-41.18,-53.84,12.65
2022-04-06,3269.43,3283.43,3288.11,3255.69,42964,3257.78,3241.53,-35.71,-50.21,14.5
2022-04-07,3267.81,3236.7,3290.26,3236.48,40262,3264.33,3238.69,-34.75,-47.12,12.37
2022-04-08,3239.88,3251.85,3257.09,3208.35,41382,3261.38,3238.46,-32.39,-44.17,11.79
2022-04-11,3239.86,3167.13,3239.86,3156.51,42416,3244.37,3232.01,-36.93,-42.72,5.8
2022-04-12,3165.12,3213.33,3214.54,3140.9,41832,3230.49,3227.19,-36.38,-41.46,5.08
2022-04-13,3199.8,3186.82,3225.47,3183.53,39115,3211.17,3225.35,-37.65,-40.69,3.05
2022-04-14,3203.63,3225.64,3240.0,3200.23,37124,3208.95,3233.44,-35.12,-39.58,4.46
2022-04-15,3210.7,3211.24,3229.87,3200.13,40784,3200.83,3235.46,-33.88,-38.44,4.56
2022-04-18,3185.94,3195.52,3204.03,3166.98,34736,3206.51,3234.49,-33.78,-37.51,3.73
2022-04-19,3192.09,3194.03,3207.83,3174.71,33994,3202.65,3231.64,-33.44,-36.69,3.26
2022-04-20,3189.89,3151.05,3191.83,3142.05,36204,3195.5,3226.5,-36.22,-36.6,0.38
2022-04-21,3138.43,3079.81,3160.9,3069.68,39193,3166.33,3217.5,-43.66,-38.01,-5.65
2022-04-22,3058.4,3086.92,3105.66,3049.36,34200,3141.47,3208.3,-48.43,-40.09,-8.34
2022-04-25,3034.27,2928.51,3043.82,2928.51,43360,3088.06,3192.21,-64.25,-44.93,-19.33
